abstract	author	category	desc	level	title	weekday	start_dt	end_dt
Software engineers are never done learning as our field is always changing. We are always beginners at some things and experts at others. Along the way from beginner to expert we ask a lot of questions, but it can be intimidating to ask for help. There are some common mistakes experts inadvertently make that make people feel self-conscious and stupid for getting help, when asking for help is actually the best thing they could do! This talk will be split into two halves: giving and then getting technical help. It will give you concrete tools and tips for asking for help, and give you a checklist to see if you’re currently making any of these common mistakes when it’s your turn to answer questions. Improve your communication skills, get along better with your coworkers and colleagues, and learn faster than ever.	Sasha Laundy	Community	Software engineers are never done learning since our field is always changing. We are always beginners at some things and experts at others. Along the way from beginner to expert we have to ask a lot of questions, but it can be hard to get help. This talk gives concrete tools to help you ask with confidence, and highlights common expert mistakes that inadvertently make people feel foolish.	Novice	Your Brain's API: Giving and Getting Technical Help	Saturday	2015-04-11 16:30:00	2015-04-11 17:00:00
PBS digital streams many videos online and this is not a trivial task.  Once you build an online video streaming system, you have touched many elements that you can control.  The remaining elements are things you cannot control: ISP bandwidth, user computers, Net Neutrality, and solar flares.   Thus, PBS has invested in creating a basic framework for collecting video streaming data, processing it, and visualizing it.  This talk reviews the technologies involved including, but not limited to:  Map Reduce Large database queries Lightweight data collection servers Video player instrumentation Data visualization tools  We created the framework to be open and modular so that various technologies can be slotted in to be customized to various environments.	Mike Howsden	Python Libraries	It is extremely important to PBS that digital viewers have an awesome experience when viewing online videos.  In this talk, we explain how PBS built a system to collect, analyze, and measure who's getting a good experience -- and who's not.	Intermediate	Zen of Quality - How PBS measures QoS for digital viewers	Sunday	2015-04-12 14:30:00	2015-04-12 15:00:00
Follow along as we package and deploy a simple Python-based webapp on a CoreOS cluster... and then try to destroy it. Discover how Fleet, Docker, and etcd keep the app running, even as we carelessly destroy VMs in the cluster.	Dan Callahan	Systems Administration	CoreOS is a new Linux distribution that makes it easy to deploy applications on dynamically scaled clusters of computers, and which has recently been embraced by infrastructure providers like DigitalOcean, Rackspace, and Google Compute Engine. Come learn how to package and deploy a Python application on this new, Docker-based platform.	Experienced	Fire your supervisord: running Python apps on CoreOS	Friday	2015-04-10 16:15:00	2015-04-10 17:00:00
Biology is entering an exciting time, where human genomes are fairly inexpensive to sequence, computer algorithms for analyzing the data are becoming more sophisticated, and databases for understanding genomic function are growing in size.  Suppose you get your genome sequenced — what’s in there, how would you interpret it, what software might you use, and what kind of limits are there to the information you can pull out of your genome sequence? All of the analysis will be done in an open github repo with the presentation built on top of an IPython Notebook, of course.  Also, many of the basic mapping and querying algorithms involved in genomic analysis are simple enough that I will provide Python pseucodode of them, as well as provide references to further discussions of the algorithms and databases.	Titus Brown	Science	We’ve entered the era of the $1000 human genome, and soon it will be straightforward to get your own genome sequenced by a commercial company.  But what does the data mean? What information can you get out of your genomic sequence? And what are the barriers to deeper analysis?  What kinds of algorithms and databases are used in genomic analysis? All this, and more, will be revealed in this talk.	Intermediate	How to interpret your own genome using (mostly) Python.	Friday	2015-04-10 15:15:00	2015-04-10 16:00:00
While everyone agrees that usability testing should be an important part of your development process, not everyone has enough money laying around to pay for a dedicated team or consultants. In this talk, Katie will review a number of inexpensive options that can help any team deliver a usable product.  The purpose of this talk is not to demeen the field of usability experts (if you have the money, you should hire some!), but to help those who are working on a shoe-string budget make better websites. Not every team can afford weeks (and sometimes months) of focused user surveys and specialized observation, but most can afford a pack of index cards and a few pieces of inexpensive software. The audience will walk away not only with an idea of why they might want to do usability testing, but also how they can run a few small-scale studies themselves. These will help them pick the right design, organize their site in a logical manner, and tweak their application as time goes on and their needs change.	Katie Cunningham	Best Practices & Patterns	While everyone agrees that usability testing should be an important part of your development process, not everyone has enough money laying around to pay for a dedicated team or consultants. In this talk, Katie will review a number of inexpensive options that can help any team deliver a usable product.	Novice	Usability Testing on the Cheap	Saturday	2015-04-11 11:30:00	2015-04-11 12:00:00
You may have learned Python's advanced syntax for functions (like *args and **kwargs), but the best time to use it may still not be obvious. The goal of this talk is to provide clear advice on how and when to use the Python language features that affect functions (and methods). This talk will present a number of concrete suggestions for how to use functions effectively. With each suggestion I'll use code examples to demonstrate why this is the best choice and why other approaches aren't a good idea.	Brett Slatkin	Best Practices & Patterns	Functions improve readability, encourage reuse, and facilitate refactoring. Python has many unique features that make functions significantly more powerful. This talk will show you the best ways to use functions in Python: when *args is helpful and when it'll crash your programs; how to use generators for arguments and return values; the value of keyword vs. keyword-only arguments; and more!	Novice	How to Be More Effective with Functions	Friday	2015-04-10 10:50:00	2015-04-10 11:20:00
"Git is a powerful tool for describing and maintaining the history of a project, but most people never get beyond the basics. By giving you the ability to rewrite history (with the safety of never truly losing information), git allows you to craft a history that is more true to the intent of your changes, rather than one filled with countless ""oops"" and ""fixed typo"" commits. Of course, with great power comes great responsibility, and it is important to wield your time-travelling powers with restraint. In this talk, you'll learn how to clean up your history without confusing others, as well as how to recover if things go wrong. You'll also learn more about the conceptual model behind git and how to bend it to your will. Once you understand how commits and branches really work, you can compose your git tools to do what you want. Need to insert a commit in the middle of a branch? See who introduced the bug two weeks ago that surfaced in production today? Resolve merge conflicts cleanly? Break a large commits into several smaller ones, or squash several smaller ones together into one? With git, you can do it."	David Baumgold	Best Practices & Patterns	You know clone, commit, push, and pull. Now you're ready for the fun stuff. This talk will give you the advanced knowledge you need to take control of your git repository: rebase, cherry-pick, bisect, blame, squashing, and the reflog. You'll also get a better conceptual understanding of how git works, allowing you to chain these tools together to accomplish whatever task you need.	Novice	Advanced Git	Friday	2015-04-10 14:35:00	2015-04-10 15:05:00
This is a class directed at Python beginners that are interested in learning Web development. In this workshop we are going to build a Web application using Flask, the Python Web micro-framework. The only pre-requisite is that you have a basic knowledge of Python. I will be happy to explain anything you don't understand, but I will assume that you are at least familiar with the language syntax and structure. We will start with the setup of a development environment for Flask in your laptop, and then will work on an application that we will build from scratch in small incremental steps. The main topics that I will cover in this class are Basic Applications, Templates, Web Forms and User Sessions. At the end I will also give you an overview of what you should focus on next. Note that this year my intention is to cover the basic building blocks in very good detail, so this is a class that is ideal for beginners, or those that found my PyCon 2014 tutorial too intimidating. I will welcome questions at all times and also expect all the attendees will have the example application running on their laptops by the end of the class. My hope is that this class will give you a really good taste of what Web development is. By the end of it you will have enough knowledge to build simple Web applications on your own, and if you are interested, you will know what you need to do to continue on your learning path.	Miguel Grinberg	Web Frameworks	"Flask is a web framework for Python based on Werkzeug, Jinja 2 and good intentions. It is considered a micro-framework, but don't get the ""micro"" part fool you; Flask can do everything others can do, many times in a simpler, leaner way. In this tutorial session we will build a web application together. Bring your laptop and your questions!"	Novice	Flask Workshop	Wednesday	2015-04-08 09:00:00	2015-04-08 12:20:00
"Every programming language works similarly to others, and differently than others.  Python is no exception.  Its mechanisms for supporting variables have an underlying simplicity, but preconceptions from other languages can obscure their true behavior. Starting from ""x = 23"", we'll cover how Python names and values work together to provide variables.  Along the way, we'll touch on immutability, containers, reference counting, sharing, copying, the diversity of assignment, dynamic typing, and a tiny bit of chess."	Ned Batchelder	Python Core (language, stdlib, etc.)	The behavior of names and values in Python can be confusing. Like many parts of Python, it has an underlying simplicity that can be hard to discern, especially if you are used to other programming languages. Here I'll explain how it all works, and present some facts and myths along the way.  Call-by-reference? Call-by-value? The answer will be clear!	Novice	Facts and Myths about Python names and values	Saturday	2015-04-11 12:10:00	2015-04-11 12:40:00
Software engineering isn’t just about writing code that correctly executes some task; it’s also about writing code that is easy to use and maintain. A software module’s receptiveness to use by end users or by other software isn’t guaranteed and a particular danger to a module’s usability is inappropriate coupling of the module to its dependencies, clients, and design assumptions. Sometimes bad coupling happens when software is being written in a hurry and its design decisions are being driven by expediency. Sometimes bad coupling is a result of following bad advice. Sometimes bad coupling simply comes from mistakes. Loose coupling between software modules is good coupling. Loose coupling reserves freedom for you in the future as your software’s needs and implementation change. We will share our experiences of dealing with tightly coupled systems written by others and how we have learned to create loosely coupled systems of our own.	Augie Fackler,Nathaniel Manista	Best Practices & Patterns	Great software is made out of cooperating independent modules; unusable, incorrect, and bad software happen when modules don’t (or can’t) work together. What makes modules friendly or hostile? How do abusive relationships between modules happen? How can we write code that creates and maintains healthy connections to other code?	Intermediate	Stop Sucking Me Into Your Drama: A Personal Appeal For Loose Coupling	Friday	2015-04-10 15:15:00	2015-04-10 15:45:00
The problem: async applications must be tested as thoroughly as others, but the typical code flow is broken. “Do something, then assert something” no longer works in the obvious way. After your test code launches an async operation, it needs some way to know when to expect the operation to be complete. Developers inexperienced with async frameworks insert arbitrary sleeps into their tests to wait for the expected outcome, or they write awkward polling loops. The resulting code is unreliable, breaks good testing practices, and is illegible. There has to be a better way. The fetch / wait pattern. Tornado’s “testing” module introduced a pattern that allows async web applications to be easily tested. Your code does some setup and then fetches a URL from your application. Tornado then allows your test to wait cleanly, while the event loop completes processing your request. Finally, your test asserts the post-conditions. Loop management. The event loop must be shut down and recreated between tests to ensure all file descriptors and callbacks are cleared between tests. We’ll see how to manage the loop when testing with Tornado and with asyncio. Coroutine tests. Tornado’s “gen_test” decorator allows you to write tests as generators. We digress to explain asynchronous coroutines in general, then show how they vastly improve async tests’ concision and reliability. Tornado helps you avoid some pitfalls with a few neat tricks, we’ll see how those work. Then we see equivalent examples of testing asyncio applications with coroutines. Don’t sleep. Sometimes a test requires time to pass, but calling time.sleep() in a test is slow, unreliable, and may block the event loop precisely when it needs to be running. The self-tests for asyncio demonstrate some clever patterns to simulate the passage of time while ensuring tests are fast and trustworthy. Conclusion. As async frameworks make their way into the mainstream of Python application programming, we must take the experience we’ve gained with conventional testing and adapt it to a new paradigm. Don’t reinvent the wheel: there are years of wisdom embedded in Tornado’s and asyncio’s testing tools. You can write fast, reliable, and elegant async tests if you use the right techniques.	A. Jesse Jiryu Davis	Testing	Async frameworks like Tornado and asyncio scramble our usual strategies for writing sequential code. This is most problematic when writing tests: how can you validate the outcome when you don’t know when to expect it? This talk introduces you to methods and practices for unittesting async applications.	Intermediate	Eventually Correct: Testing Async Apps	Saturday	2015-04-11 16:30:00	2015-04-11 17:00:00
How does Yelp decide which relevant business or service to show you as an ad within 100 milliseconds of your visit? What are the criteria and metrics by which we measure success of our ad serving system? In this talk, the audience will learn about how Yelp figures out the best ad to show a user during his visit to Yelp: via a 2nd price auction amongst all the matching advertisers. Powering this 2nd price auction is a Machine Learning based system that predicts Click Through Rates (CTR) for all ads and an Auto-Bidding system that determines the optimal bid price for each ad per user request. Yelp's local advertising presents challenges that are unique compared to display, social or mobile advertising. I'll motivate this via some trends and data observations. One of the interesting aspects is business categories and geolocation: How far are people willing to travel to visit a restaurant? What about professional services like plumbers: are users less or more sensitive to how far those are compared to restaurants? I'll provide examples of how we use our open-sourced Map Reduce package (MRJob) to scale ML feature engineering and performance metric computation. I'll also provide details on our Machine Learning pipeline built using the popular python packages: numpy, scipy and sklearn. This talk would give you an in-depth overview of advertising systems, and why with increasingly sophisticated ad systems, in future we will wonder why we ever hated ads!	Soups Ranjan	Science	This talk would give you an in-depth overview of Real-Time Bidded (RTB) advertising systems, and why with increasing sophistication in ad-tech, in the future we will wonder why we ever hated ads. In particular, this talk will discuss technical challenges in ad systems and how we use Computational Advertising and Data Science to solve problems around Click Through Rate (CTR) Prediction, Auto-Bidding systems, Traffic Prediction, etc.	Novice	Data Science in Advertising: Or a future when we love ads	Friday	2015-04-10 12:10:00	2015-04-10 12:55:00
Interest and activity in childhood computing education continues to grow on all fronts, from government-sponsored initiatives to our own Python community.  Finding age-appropriate materials and environments that are educational and motivating has always been a challenge, especially for younger coders. Meanwhile, Minecraft has become a massive cultural phenomenon, capturing the hearts and minds of our youth. Many millions of hours have been spent in Minecraft, shaping and crafting worlds and capturing the imaginations of its players. It stands out as a fun, motivating platform that encourages exploration and play.  This talk will discuss the importance of play in education, the basic principles of motivation, and how it relates to teaching programming. How does Minecraft and its virtual environment solve these problems?  We will discuss the various tools and methods that can be used to allow Python-based interactions with the Minecraft world. The available Python APIs for Minecraft will be covered along with example curriculum and projects. The tools and environments discussed will cover appropriate requirements for both PC version of Minecraft and Minecraft PI; we will cover how to set up appropriate learning environments for your own use. Hear about experiences and successes in other communities. Outcome: Parents and educators will walk away with an understanding of Minecraft, its capabilities, and its significance in education. They will also learn how to teach Python programming through play within the Minecraft world. Attendees will receive references to materials that can be used to teach Python and steps required to setup learning environments.	Kurt Grandis	Education	Interest and activity in childhood computing education continues to grow. Meanwhile, Minecraft has become a massive cultural phenomenon as a fun, motivating platform that encourages exploration and play. This talk demonstrates how Python can be used to teach programming while exploring the world of Minecraft. We will cover how to set up learning environments, curricula, and case studies.	Novice	Exploring Minecraft and Python: Learning to Code Through Play	Friday	2015-04-10 10:50:00	2015-04-10 11:20:00
Working with Hadoop using Python instead of Java is entirely possible with a conglomeration of active open source projects that provide Python APIs to Hadoop components. This tutorial will survey the most important projects and show that not only is Hadoop with Python possible, but that it also has some advantages over Hadoop with Java. The reasons for using Hadoop with Python instead of Java are not all that different than the classic Java vs. Python arguments. One of the most important differences is not having to compile your code by instead using a scripting language. This makes more interactive development of analytics possible, makes maintaining and fixing applications in production environments simpler in many cases, makes for more succinct and easier to read code, and so much more. Also, by integrating Python with Hadoop, you get access to the world-class data analysis libraries such as numpy, scipy, nltk, and scikit-learn that are best-in-breed both inside of Python and outside. Students will be surprised at how quickly they can get up and running with Hadoop when using Python. In this tutorial, we will talk about the following libraries and approaches and will guide students through a series of exercises:  Interacting with files in the Hadoop Distributed File System with the snakebite Python module to store potentially petabytes of data Writing MapReduce jobs with the mrjob Python module to analyze large amounts of data over potentially thousands of nodes Writing MapReduce jobs with Apache Pig (a higher-level data flow language) in conjunction with Python user-defined functions  In addition to these topics, we'll briefly cover the state of Python support for other Hadoop ecosystem projects, such as HBase, Hive, Spark, Storm, Flume, Accumulo, and a few others.	Donald Miner	Databases	In this tutorial, students will learn how to use Python with Apache Hadoop to store, process, and analyze incredibly large data sets. Hadoop has become the standard in distributed data processing, but has mostly required Java in the past. Today, there are a numerous open source projects that support Hadoop in Python and this tutorial will show students how to use them.	Intermediate	Hadoop with Python	Wednesday	2015-04-08 09:00:00	2015-04-08 12:20:00
The novice or occasional user of the Pandas dataframe too often finds themselves lost in a forest of possible next moves. They try calling groupby() but the result an opaque object instead of a reorganized dataframe. They attempt a pivot() but cannot understand why the result is different from what they expected. The examples for stack() and unstack() look very nearly like the operations they want to perform, but they can never remember which is which without the documentation. This tutorial will help students rebuild their mental model of the Pandas dataframe from the ground up, starting with the structure of the dataframe and its indexes and then progressing through a complete tour of all of the operations that dataframe methods offer. Symmetries and contrasts will regularly be drawn between the methods and operations to help make it as easy as possible to remember them all, and to help relate the vertical and horizontal indexes along the edges of the dataframe. The tutorial will show Pandas use in both plain Python files and also in the IPython Notebook. Students will be encouraged to use Anaconda or another distribution that gives them both Python and all the standard science and numeric tools up-front without requiring further installation steps. At each stage in the tutorial, students will be given a short lecture and demonstration, allowed to ask questions, then be presented with a series of short dojo-like exercises that build their knowledge of each maneuver by progressing from simple to fairly complex data manipulations. As each feature is learned, students will then be challenged to use it in combination with features learned earlier in the tutorial — a mechanism that should improve retention of the complete set of possible method calls. The exercises will be hand-written and tailored to share three features. First, the examples will try to re-use dataframes whenever possible, so that students quickly become familiar with the data layout in each one of them and can more easily focus on the next maneuver they are learning. Second, the example dataframes will each be rather short — about one or two screens-full of data — so that the user has a more complete picture of “where their data is going” with each operation than would be possible with a larger data set. Finally, each example will be semantically rich and display common-sense relationships among the values present: there will be none of the vast arrays of randomly-generated random numbers that seem so common in scientific Python tutorials, but that give the learner’s mind nothing familiar to grasp as they stare at the output and wonder what relation the output numbers have to the inputs.	Brandon Rhodes	Python Libraries	The typical Pandas user learns one dataframe method at a time, slowly scraping features together through trial and error until they can solve the task in front of them. In this tutorial you will re-learn how to think about dataframes from the ground up, and discover how to select intelligently from their abilities to solve your data processing problems through direct and deliberately-chosen steps.	Intermediate	Pandas From The Ground Up	Wednesday	2015-04-08 09:00:00	2015-04-08 12:20:00
While Python is sometimes maligned as too slow for real world applications, many scientists, statisticians, and other data-oriented programmers find it to be efficient and powerful for large-scale data analytic tasks. The vast majority of this type of data analysis in Python is performed using NumPy, a package which extends Python with a powerful array-oriented computing interface. These arrays are flexible enough to handle all kinds of data: scientific imaging, sales records, statistical model parameters, logfile results, and more. The tools in NumPy form the core of other well-known Python data science packages such as Pandas, Scikit-Learn, SciPy, Matplotlib, and many more. Designing efficient data-intensive algorithms in Python requires not just using NumPy, but using it effectively. In broad-brush, this amounts to replacing slow loops over datasets with more efficient vectorized operations. In this talk I’ll cover briefly why loops in CPython tend to be slow, and why vectorizing these operations using NumPy can often provide speedups of 100-1000x in many cases. I’ll go on to introduce the four practical concepts essential to fast data analytics using NumPy: aggregation functions, universal functions, broadcasting, and fancy indexing. With a firm understanding of these four patterns, you’ll be well on your way to writing fast & efficient data-intensive code in Python.	Jake VanderPlas	Science	NumPy, the core array computing library for Python, provides tools for flexible and powerful data analysis, and is the basis for most scientific code written in Python. Getting the most out of NumPy, though, might require slightly changing how you think about writing code: this talk will outline the basic strategies essential to performing fast numerical computations in Python with NumPy.	Intermediate	Losing your Loops: Fast Numerical Computing with NumPy	Friday	2015-04-10 16:30:00	2015-04-10 17:00:00
This tutorial aims to cover a wide assortment of advanced topics related to modules, packages, and the import statement.  Topics will include, but are not limited to the following:  Basics of modules and packages. What can be imported? Module compilation (.pyc files, etc.) Construction of sys.path Namespace packages Virtual environments Circular module dependencies Package relative imports Module splitting (splitting modules into multiple files) Import hooks Module imports and threads Module reloading 	David Beazley	Python Core (language, stdlib, etc.)	All Python programmers use the import statement, but do you really know how it works and what it allows?  This tutorial aims to take a deep dive into every diabolical issue related to modules, packages, and imports.   When we're done, you'll finally be ready to unleash your million line micro framework on the world!	Experienced	Modules and Packages: Live and Let Die!	Thursday	2015-04-09 13:20:00	2015-04-09 16:40:00
The terminal emulators we run so many of our programming tools in are more powerful than we remember to give them credit for, and the key to that power is understanding the interface. This talk will cover terminal colors and styles, writing to arbitrary portions of the screen, handling signals from the terminal, determining the terminal's dimensions, scrollback buffer behavior and relevant environmental variables. Terminal programming can get hairy; along the way we'll deal with encoding issues, consider cross platform concerns, acknowledge 4 decades' worth of standards for terminal communication, and consider that humans at interactive terminals may not be the only users of our interfaces. By gaining an understanding of these issues, we'll be able choose from the abstractions over them offered by Python libraries Urwid, curses, and Blessings.	Thomas Ballinger	Python Libraries	"Have you ever wanted to add a status bar to your command line program?
Or maybe color the output a bit? Or do you want to write a fullscreen terminal application like ls, top, vim, or emacs? Then you need to speak a bit of terminal! This talk describes how to talk to your terminal from scratch and goes on to show why Python libraries Blessings and Urwid are so awesome."	Novice	Terminal whispering	Sunday	2015-04-12 13:50:00	2015-04-12 14:20:00
This carefully constructed course will take a programmer with a basic understanding of Python to the next level. You should feel comforable with Python loops, variables, functions, and classes. From there we build your knowledge and cover some of the more exciting aspects of Python that tend to bite new Python programmers. With a unique, fast-paced combination of lecture and lab, the student will not only listen to the material, but try it out themselves. In addition, attendees will recieve a copy of the slides and a cheatsheet covering the material. Bring a laptop with Python (2 or 3) installed and a desire to learn the basics.	matt harrison	Python Core (language, stdlib, etc.)	Are you new to Python and want to learn how to step it up to the next level? Have you wondered about functional programming, closures, decorators, context managers, generators, or list comprehensions and when you should use them and how to test them? This hands-on tutorial will cover these intermediate subjects in detail, by explaining the theory behind them then walking through examples.	Intermediate	Hands-on Intermediate Python	Thursday	2015-04-09 13:20:00	2015-04-09 16:40:00
A recommendation engine is a software system that analyzes large amounts of transactional data and distills personal profiles to present its users with relevant products/information/content. We see them in a wide variety of domains and applications and they help us navigate the overwhelming choice that we face everyday. This tutorial will formally introduce the concepts and definitions of the recommendation systems literature and will quickly move on to an iterative process for building a minimal reco engine. In the process, we'll learn about the building blocks for scientific computing in Python: NumPy and (more recently) pandas.	Diego Maniloff,Christian Fricke,Zach Howard	Science	In this tutorial we'll set ourselves the goal of building a minimal recommendation engine, and in the process learn about Python's excellent Pydata and related projects and tools: NumPy, pandas, and the IPython Notebook.	Intermediate	Hands-on with Pydata: how to build a minimal recommendation engine.	Thursday	2015-04-09 13:20:00	2015-04-09 16:40:00
Deployment is a simple idea in theory but can be difficult in practice.  Many mechanisms exist but few work very well with python being deployed across multiple operating systems in a service oriented architecture. One issue we've faced with a SOA is that you can end up with many projects rolling their own deployment mechanism which results in many half-baked deployment pipelines.  This can create a large pain point in transitioning people from one team to another.  Bug fixes can be committed quickly but it can be a royal pain in getting the changes out and live. To help alleviate that pain we've come up with a generic package-centric deployment strategy that focuses on Python but also supports other languages like NodeJS.  The deployment strategy leverages technologies like Jenkins, Pip, Virtualenv, and Fabric to allow for quick deployments that result in code being isolated from other services and native libraries on the node. This talk will introduce a deployment pipeline that uses Python packages as the main deployment strategy and the mess it helped clean up.  I will go into how the pieces fit together for this deployment, some of the successes had with this mechanism as well as some of the pain points in using it.	Dan Tracy	Systems Administration	Gone are the days where creating system packages or scp-ing tar balls were required for deployment.  With Pip, Fabric, and Jenkins we've  developed a pipeline to simplify deployments and rollbacks that dove-tails into configuration management and virtualization.  New machines can come fully deployed and ready to rock at a moments notice allowing you to scale out nodes quickly and painlessly.	Novice	Ship it: Deployments with Pip	Saturday	2015-04-11 14:35:00	2015-04-11 15:05:00
