abstract	author	category	desc	level	title	weekday	start_dt	end_dt
The Python Web ecosystem has always placed a strong emphasis on testing, partly thanks to a wide range of testing tools available in Python Web frameworks. Some of the most used from those tools are dummy web clients, which allow to emit mock HTTP requests directly to your codebase and to inspect the responses' contents. However, as useful as they are, these dummy clients are limited as they do not exercise the full HTTP specification and they cannot effectively reproduce actual user interactions. With the recent advent of browser automators such as Selenium, it is now possible to use sophisticated HTTP clients to execute your tests in a more comprehensive way. Indeed, this allows you to write functional tests to ensure that all layers of your web application properly fit together and that user interactions function well from end to end. Python Web developers are already becoming increasingly familiar with Selenium et al., therefore this talk will go far beyond just an introduction to those technologies. Thus, I will present advanced techniques for testing CSS, visuals and responsive designs — all using Python. I will also offer advice on how to harness functional tests within real project workflows, in particular in a continuous integration environments. Lastly, functional tests are often criticized for being too slow and too brittle. Therefore I will present various practical tips for making functional tests faster and more robust.	Julien Phalip	Testing	This talk will present multiple advanced techniques for Web functional testing. You will learn how to test a wide range of Web front-end components, such as CSS, visuals, responsive designs and user interactions — all using Python. Various practical tips will also be presented to harness your functional tests in real project workflows.	Intermediate	Advanced techniques for Web functional testing	Saturday	2014-04-12 16:30:00	2014-04-12 17:00:00
Working with a team and delivering projects leads to structure, requirements and processes. Both back and front end development have their own set of effective tools and processes and they need to coexists in a way collaboration and deployment could be easily done. By mixing those tools and processes you can empower your team skills and make the most out of them without sacrificing robustness and predictability. Buildout is great at building application environment and replicate anytime. By using Buildout you can easily assemble, through simple configuration, all the parts needed for your project and make sure everything is coherent. Bower, as a Web package manager, will make your front-end package management a breeze while Grunt, with an increasing plugin library, will take care of all your assets and repetitive tasks. With Ansible you'll find it easy to deploy your application with the same tools and processes by avoiding to write scripts or custom code. Great benefits you'll get by using adapted tools for specific tasks, automated and mixed in a coherent way to leverage both your front and back end development and team players.	Blaise Laflamme	Best Practices & Patterns	How to make our Python web development workflow less painful and more predictable? By mixing a collection of tools and best practices for both back and front ends like Buildout, Grunt, Bower and Ansible to automate tasks.	Novice	Upgrade your Web Development Toolchain	Saturday	2014-04-12 12:10:00	2014-04-12 12:40:00
As the layer below the popular SQLAlchemy ORM, the Core portion of SQLAlchemy is often overlooked; however, it can be extremely handy when the data can not be modeled prior to access, needs to be dynamically created, or there is no other value to having a class model. Basic Usages We'll first explore the basics of setting up SQLAlchemy in your project, and how to create tables on the fly.  Once the tables are created, we'll move into performing all the common sql operations including querying with filters, groups, and joins.  SQLAlchemy Core also exposes many SQL functions such as counts, sum, and time related statements. Speaking the Database Language SQLAlchemy uses dialects to know how to speak to specific types of databases.  Many of the common database engines are supported such as PostgreSQL, MySQL, Oracle and MSSQL.  Sometimes, you need need to build a custom dialect to accomidate an unusual function.  A recent example is Amazon Redshift, which sort of speaks postgres. We'll look at an example of the custom unload statement built for SQLAlchemy. Dynamic Table Introspect and Query Building Finally, we'll cover how to introspect an existing table to build a pythonic representation we can use for SQLAlchemy Core operations.  Since some datatypes can be unknown depending on the table structure, we'll discuss how to accommodate that.  We'll wrap up with a brief look at query chaining and the use of conditional to build dynamic queries, which builds directly on top of the simple sql operations we covered earlier.	Jason Myers	Python Libraries	This talk provides a broad-based introduction to SQLAlchemy Core library. It is focused on someone new to SQLAlchemy Core, who has experience with other database technologies such as Django or SQLAlchemy ORM. We'll cover the differences between the domain-centric models of those tools compared to the schema-centric model and how we can use that to deal with common and unusual data sources.	Novice	Introduction to SQLAlchemy Core	Saturday	2014-04-12 13:55:00	2014-04-12 14:25:00
Taba is a distributed aggregation service, currently handling over 6M events per second, with low end-to-end latency. Similar in concept to statsd, Taba can handle orders of magnitude more data, with stronger consistency guarantees. It is built atop Redis using Python with gevent and Cython. We will discuss the data model used, and how its design impacts process flows, the database schema, network usage, cacheability, etc. We will also describe the cluster architecture, which is based on many identical distributed processes, and uses master-less coordination to automatically distribute load across the cluster. Finally, we will discuss some of the interesting challenges and solutions encountered. These include:  Memory fragmentation and ‘ratcheting’ in CPython Using generators, greenlets, and queues to great effect in reducing memory usage without sacrificing performance. Using Cython to optimize critical sections Optimizing CPU intensive operations (e.g. distributed reservoir sampling) Hybrid manual / automatic memory management techniques 	Kevin Ballard	Best Practices & Patterns	Taba is a distributed metrics aggregator, similar in concept to statsd. Built with Python using Redis, gevent, and Cython, it currently handles over 6M events/sec with strong consistency guarantees. This talk will present an overview of its design, and discuss the challenges and solutions encountered in the process of building a high throughput, low latency distributed service.	Intermediate	Pushing Python: Building a High Throughput, Low Latency System	Saturday	2014-04-12 15:15:00	2014-04-12 15:45:00
It's been ten years in the making, but Django finally has built-in migrations. Inspired by South, django-evolution, Alembic, Rails and more, they're a brand new design with some unique design decisions and some exciting possibilities. Learn the key design decisions we made, ideas we discarded, and the unique treatment we have to give each of our four official database backends, as well as the challenges we faced in creating a new migration file format, how to do dependency resolution efficiently, and how we managed to make such a large change in a backwards-compatible way.	Andrew Godwin	Web Frameworks	Django finally has built-in migrations, and they're a long way from the designs of South or django-evolution. Learn the key design decisions we made, ideas we discarded, and the unique treatment we have to give each of our four official database backends.	Intermediate	Designing Django's Migrations	Saturday	2014-04-12 11:30:00	2014-04-12 12:00:00
Mobile platforms are becoming very important area of IT industry and part of our live, and sure if you are Python fun you'll be interested in how can you develop some cool stuff for such platforms using your favorite language. What if you want to write simple game(or even not simple) with Python or write some application with rich graphic and even 3D elements for Android/iOS? You can do it! In my talk I'll speak about tools which may help you develop cross-platform applications with using OpenGL ES(OpenGL subset for embedded systems).  Mostly my talk is about Kivy project as it's good implementation of cross-platform framework. But it's not about Kivy as a framework for creation applications with UI, it's about Kivy's way for drawing all graphical elements which is based on the using OpenGL ES and its API you may use to develop fast graphical application. Through this API it's possible to call raw OpenGL functions, to use shaders and create fantastic graphical things if you are experienced with OpenGL. As an alternative in my talk I'll say about using some other projects like Ignifuga, another Python based framework for cross-platform game development and Panda3D, which also may be used for developing 3D applications with Python for mobile platforms. And sure if you want to make full-featured game with using some complex graphical logic, I'll say how can you optimize it with using Cython and how can you port your extensions to different platforms. During this talk some simple graphical application will be demonstrated right on the mobile device. These demos includes examples of simple 2d graphical application with integrated physics, simple 2D puzzle game, demo with basic 3D figures, Rubik's cube game(see appropriate images below): Simple 2D primitives with physic simulation  Simple puzzle demo  Basic 3D figures demo  Rubik's cube game written on Python 	Niko Skrypnik	Gaming	Games, application with rich graphic for mobile platforms? Yes! You can do it for Android, iOS and other platforms with using Python. In this talk I speak about tools you may use for developing applications with using OpenGL ES for different platforms, the ways and concepts which are used in those tools, some tips and tricks you may use to make a cross-platform game with Python for fun and profit.	Intermediate	2D/3D graphics with Python on mobile platforms	Sunday	2014-04-13 13:50:00	2014-04-13 14:20:00
"Django is nearly nine years old, and is pretty big, both in terms of user base and in terms of code. But what makes it useful? What makes it a good choice for Web development? It's not the feature list or the number of components, it's a few very important core ideas. The first is Django's core request/response life cycle and abstractions, which offer a higher-level approach over raw WSGI (even though ultimately Django itself will speak WSGI to the Web server, and will translate between Django's own request/response classes and WSGI's more CGI-like programming model). This carries over from the base request and response objects into the actual implementation of request processing: Django views are simply Python callables which take a request and either return a response or raise an exception, allowing for easy exploratory programming with a minimum of interference from the abstractions. The second is a tendency to find balance between shipping only the minimal code necessary for Web programming (as in many lighter-weight frameorks) and trying to ship everything. Django's core component set has remained relatively constant throughout its history, and major new features and functionality are evaluated in a very conservative fashion, with the tendency in the past few years actually being toward ""un-bundling"" -- functionality which used to ship with Django itself is now in the process of being spun off into separately-distributed applications -- and providing sound default implemenations which can be easily replaced with third-party versions as needed (as in the case of the template system, and authentication framework, to take two examples). This allows Django to cover common cases while leaving room for the community to grow solutions and additional functionality on top of a solid core. Finally, the concept of the Django application, as an encapsulated unit of functionality, gives developers a major advantage in code reuse and being able to easily integrate disparate functionality to compose more complex Web sites or Web applications. Django's core components essentially function as a dependency that all application developers can assume, and Django's APIs provide a common ""language"" all applications can speak. This helps to minimize the amount of new code developers need to write, and acts as a powerful ""force multiplier"": even a lone developer has the resources of the entire Django community, and the large existing base of applications and functionality, to draw on when embarking on a new project. Taken together, these ideas make Django a powerful and useful addition to a Web developer's toolbox, and allow developers of multiple experience levels to quickly and efficiently build useful, modern Web applications."	James Bennett	Web Frameworks	Lots of talks and tutorials try to cover Django exhaustively, going over every component and feature. But not so many take a look at the bits that let Django be Django. In this talk, we'll see exactly what those bits -- some old, some new -- are, in a way that shows why it's still a solid and popular choice for web developers nearly nine years after its initial public release.	Intermediate	Django: The good parts	Saturday	2014-04-12 12:10:00	2014-04-12 12:55:00
Python has a complex past with cryptography. There are half a dozen major frameworks built on at least three separate C implementations, each with their own strengths and weaknesses and in various states of maintenance.  In our development of an open source key management system for OpenStack (Barbican), our team has spent some time investigating the major options including OpenSSL, libnss, nacl and pycrypto on the C side and PyOpenSSL, Pycrypto, python-nss and m2crypto on the Python side. In our research, we noted several challenges with the current crop of libraries including audit state, support for PyPy, maintenance status, etc. In response to this, a group of Python aficionados with more time than sense have begun development of Cryptography (https://github.com/pyca/cryptography). Cryptography is a modern Python crypto library capable of  utilizing multiple C backends based on CFFI, thus enabling PyPy use. We will cover the current state of the library, it's goals and design decisions.	Jarret Raim,Paul Kehrer	Python Libraries	There are a half-dozen major Python cryptography frameworks built on at least three separate C implementations, each with their own strengths and weaknesses and in various states of maintenance. This presentation will review the current state of the art and discuss the future of crypto in Python including a new library under development, PyPy support and more.	Intermediate	The State of Crypto in Python	Friday	2014-04-11 16:15:00	2014-04-11 17:00:00
Traditional Django programming tutorials focus on the command line and views/models first before templates. This is great for people with previous programming ability, but can be difficult for those who don't have back-end programming experience, such as web designers and front-end developers. This tutorial focuses on teaching Django by focusing on the templates, the admin, and basic dynamic data, with the goal of teaching the building blocks of Django programming and ignite a fire to learn more.	Tracy Osborn,David Wolever	Best Practices & Patterns	Traditional tutorials for Django usually assume some programming experience, but what if someone is learning Python and Django with a HTML/CSS background? This tutorial focuses on the web-based features of Django — templates and the admin — and goes over the basic building blocks of Django programming to get web designers excited and interested in learning more.	Novice	Django for Web Designers and Front End Developers	Wednesday	2014-04-09 13:20:00	2014-04-09 16:40:00
There is a lot of buzz about the “Internet of Things.”  While many people talk about the potential of connecting the physical world to the internet, very few of offer practical examples of how this can be done. This talk will showcase tools in the python ecosystem that will make the internet of things possible. Live and on stage we will code a simple internet of things web server. We’ll quickly touch on the python tools used in an internet of things web stack and connect the dots between each piece.  The talk will begin by looking at tools that enable interacting with the physical world via sensors and actuators. We’ll cover audio capture, video capture, digital and analog sensors, and actuators. The audience will then generate some data which we will analyze and make sense of using iPython, NumPy, SciPy, sci-kits learn, Pandas and Matplotlib. We will see how these tools can be used to make sense of the real world. Finally, we will connect our sensors, actuators, and analysis to the internet using Flask, RabbitMQ, Celery, and databases. This talk is intended to take all levels of python programmers through the steps necessary to create an internet of things web stack.	Katherine Scott	Python Libraries	Live and direct from the PyCon stage learn how to connect your things to the internet! In this talk we’ll connect physical things and people to the internet.  In this talk we will live code a tiny web server that interacts with the physical world via sensors, actuators, video, and audio.  We will  explore tools in the Python ecosystem that make this possible and show how they work together.	Novice	Hello Physical World: A Crash Course on the Internet of Things	Friday	2014-04-11 17:10:00	2014-04-11 17:40:00
'How to Get Started with Machine Learning' provides an introduction to clarify what machine learning is, what it's not and how it fits into this picture of all the hot topics around data analytics and big data. This talk is targeted to those who are new and interested in exploring machine learning. It's especially focused on resolving some confusion with how machine learning fits into the space regarding data analytics and Big Data. The main take-aways are to understand at a high-level what machine learning is, key software engineering tools used in the space and the skills to build to work  on machine learning projects.	Melanie Warrick	Education	Provide an introduction to machine learning to clarify what it is, what it's not and how it fits into this picture of all the hot topics around data analytics and big data.	Novice	How to Get Started with Machine Learning	Friday	2014-04-11 14:35:00	2014-04-11 15:05:00
Following instructions of what entries to create where is easy enough when using a PaaS.  But DNS is hard – deployment issues always seem to come down to DNS.   A solid understanding of DNS will not only help with deploying your applications, but will also give a greater understanding of how the internet works, and more generally, distributed systems. In this talk, you will learn what DNS is, how it works and how to communicate with it, and how Python can make both interacting and spinning up your own DNS server simple (I swear!).	Lynn Root	Systems Administration	You've deployed! But your friends can't see it - what's wrong? I'm betting DNS.  Maybe you've fixed a couple of entries, point some records to hostnames, waited patiently for new domains to resolve only to notice your nameservers are incorrect.  But what actually goes on with DNS? Come to this talk to find out how DNS works, and how to interact and create a DNS with Python.	Intermediate	For Lack of a Better Name(server): DNS Explained.	Friday	2014-04-11 10:50:00	2014-04-11 11:20:00
"SaltStack is a breath of fresh air for Python developers that have struggled with Chef, Puppet, complex Fabric scripts, or manually setting up servers to run their software. Written in Python and configured using YAML and the Jinja2 template language, Python developers will feel right at home with Salt. It's not all roses, however. As with many configuration management tools, SaltStack has a steep learning curve. The two biggest issues newcomers seem to have are:  Learning the domain-specific terminology used by Salt (Pillars, Grains, States, etc.) Understanding how all those pieces fit together to make a functional system  This talk will provide a crash course on the basics of Salt. The goal is to take you from ""noob"" to competent and getting you over the initial learning hurdle where nothing seems to make sense. By the end of the talk, you should be able to dive in and start writing your own Salt states."	Peter Baumgartner	Systems Administration	"Salt is the new kid on the block in the configuration management space. Unlike the Ruby-based Chef and Puppet, Salt is written in Python, making it easy to debug and extend for Python developers.

This talk will introduce Salt as well as explore some of the things that make it unique."	Intermediate	Getting Started with SaltStack	Friday	2014-04-11 15:15:00	2014-04-11 15:45:00
Installing Python code is easy. Uninstalling it, keeping it up to date, or keeping it separate from other installed Python code, is where the difficulty lies. There are a number of tools to help you with these tasks, each of which have their place: buildout, virtualenv, pip, setup.py develop, Ubuntu/Debian packages, and distributing an operating system template for a virtual machine with (for example) Vagrant. This talk steps you through a few scenarios, choosing appropriate goals for each scenario, to come to recommendations you can use immediately. If you are any of the following, you'll enjoy the talk:   An end-user looking to install the latest Python module   A one-off module author, trying to make sure people can install your creation   A professional programmer looking to make your Python web app easier for new developers to work on, be they co-workers or open source contributors.   Failures and stories are the building blocks of experience; by attending this talk, you'll be able to learn from mine rather than repeating them. We'll discuss:   How to avoid wasting time recompiling lxml and Twisted every time you want to work on a new project.   How to make dependencies optional, so your designer can have an easy time styling your app, without first having to install a C compiler for MySQLdb, or a JDK for Solr.   How your app, like the OpenHatch Django app, can go from a 1 hour dev setup process into a 5 minute one (and how we test that).   How to identify and address conflicts between apt-get and pip.  	Asheesh Laroia	Best Practices & Patterns	This talk covers the practical use of Python packaging tools. You'll see how to keep your system clean as an end user excited about installing a Python module from the web, the purpose of setup.py, how virtualenv makes life easier (and sometimes harder), what Ubuntu/Debian tools can offer, and how to make a complex app easier for new contributors to run. It is heavy on stories and recommendations.	Intermediate	Python packaging simplified, for end users, app developers, and open source contributors	Saturday	2014-04-12 16:15:00	2014-04-12 17:00:00
"""The idea of Flask is to build a good foundation for all applications. Everything else is up to you or extensions.""  -- Armin Ronacher, creator of Flask No batteries included? Make your own. Flask purposely ships with almost nothing - it's a no-batteries-included toolkit at heart. Most functionality lies in the extension ecosystem, and if you want to share your own code, you'll need to learn how to create one. We'll talk about the architecture of Flask, and go over how you can extend it to add your own functionality.  A working example: Flask-FeatureFlags  When my team moved to continuous integration, we needed a way to deploy but hide incomplete features. I wrote a small library to add feature flagging to our application. Other teams were interested so I rewrote it as a general purpose extension and open sourced it.   It's only a hundred lines of code, but it's a good introduction to how you can extend Flask including signal hooks, decorators, and new Jinja functionality. It even works with Python 3. Where do you go from here? We'll end with a sampler of Flask extensions that push the envelope to give you an idea of where you can go after the basics."	Rachel Sanders	Web Frameworks	You can create a web application with Flask in seven lines of code, and you can grow that app to thousands. How do you create reusable, shareable libraries? We'll use a simple but real extension I created (Flask-FeatureFlags) to look at the different ways you can make Flask awesome.	Intermediate	Developing Flask Extensions	Saturday	2014-04-12 10:50:00	2014-04-12 11:20:00
Note: We know this talk has limited ties to Python, although in the technical material section we will make it very Python specific. However, the nature of on-boarding an employee will always be somewhat language and tool agnostic because it involves more people problems and dynamics than technical problems. Even so, we believe that technical on-boarding is extremely important topic for the python community (and all other technical communities). Abstract Intro With the increase of code academies training new engineers there is an increase in junior engineers on the market. A lot of companies are hesitant to hire too many young engineers who need training because they lack sufficient resources to get them up to speed. This is a talk about how to make junior engineers into independent and productive members of your engineering team faster and cheaper. We will focus on python specific resources and libraries that will help you create a simple but effective on boarding program, and talk about case studies of companies that have had success using these techniques. Understanding beginners vs. experts. This part is important because in any line of teaching, coaching, or mentoring its important to understand how to get a student/employee to the next level. That means both understanding the technical subjects they need to learn, but also understanding the soft skills they need to work on such as confidence, tenacity, or communication. Understanding these goals will help get engineers up to speed faster and cheaper. Onboarding Plan: The general theme of the onboarding plan is this: “You’re not giving new engineers answers, you’re telling them where to go when they have questions.” The onboarding plan will cover 3 ways to help new engineers know where to go when they have questions and get up to speed faster: technical material, mentors, and team relationships.  Technical material. This can include reading material, documentation, and source code. In the python community, there are a lot of resources available to help give engineers a better understanding of how to use python and what the standards and best practices are. We will provide a catalog of the materials that already exist and how you can use these materials to help engineers answer questions they have without taking up the time of developers around them. Being able to navigate the wealth of information out there will additionally serve to help engineers feel more independent and confident in their own ability to solve problems. Mentors. While people in the technology community general believe mentorship is good, there’s a lot of confusion about how to choose mentors for different engineers. There are a few guidelines when choosing mentors that will help with this process. The first guideline, the last person who learned something is the best person to teach it. I.e. the best person to help a new engineer set-up their development environment is the last engineer to join the company. Rather than having an engineer who’s been at the company longer try and walk new engineers through these tasks, simply assign the person who most recently learned it since it will be freshest in their mind. Team relationships. It’s important to integrate a new engineer into the team as quickly as possible from a social standpoint. Regardless of what the company culture is, making sure that new engineers feel comfortable with their team is critical to their confidence and ability to ask questions of different people. If a new engineer feels comfortable with more people on the team, then they will feel comfortable spreading questions around to different teammates. If they feel comfortable with only one person, then there’s less of a chance that they’ll utilize the resources of the whole team. Environment. Making sure the environment encourages questions, experimentation, and failure is important. It’s not enough to simply say that you believe in those things, the environment has to actively support that behavior at all times.  Case Studies of Companies: Hearsay Social - I did onboarding at Hearsay Social for several years while the company was small. At Hearsay we had limited resources for onboarding new engineers and most people didn’t have time to take on a new person full-time. Additionally, if the new engineer was junior we needed to get them to a place where they were independent enough to work on their own as quickly as possible.  In order to get them integrated into the team as fast as possible, we had a social gathering within the first week of them joining so they could get to know their teammates and feel welcome. We would have the last engineer to join the team help the new engineer setup their development environment. This engineer also walked them through the catalog of technical resources and documentation they could reference whenever they had a question about a tool or a coding convention. New engineers were paired with a social peer mentor so they could ask questions about the team culture and other non-technical elements of the company. Finally, junior engineers would be paired with someone more experienced for their first big project. In addition to mentors, each engineer also had an engineering manager.  Eventbrite - Eventbrite has been onboarding junior engineers out of Hackbright Academy in the past year and has some new techniques they’ve learned to get engineers up to speed quickly.  You don't need to be an expert in order to help a new engineer out with something- having other relatively new engineers helping your new one get started takes load off the sr people and helps both teacher and student. Student feels like they're not SO behind, teacher learns the material they're covering even better. THis is particularly useful when setting up the dev environment; have the most recent addition to the team assist in dev env setup. Buddy system- unrelated to teaching, but bringing new eng on board culturally Code labs- a hour set aside for new eng to ask questions about code, and usually lead into topics like django's ORM An environment where it's OK to ask questions Short, medium, long term goals- explicit ones- i.e. tracing a web request in django (short term goal). 	Kate Heddleston,Nicole Zuckerman	Community	This is a talk about how to make junior and new engineers into independent and productive members of your engineering team faster and cheaper. We will focus on python specific resources and libraries that will help you create a simple but effective on boarding program, and talk about case studies of companies that have had success using these techniques.	Novice	Technical on-boarding, training, and mentoring.	Sunday	2014-04-13 13:10:00	2014-04-13 13:40:00
